Sample ID,Sample source,Sample type
iRBC1_GC-QTOF-MS,erythrocyte culture,0
iRBC2_GC-QTOF-MS,erythrocyte culture,0
iRBC3_GC-QTOF-MS,erythrocyte culture,0
iRBC4_GC-QTOF-MS,erythrocyte culture,0
iRBC5_GC-QTOF-MS,erythrocyte culture,0
uRBC1_GC-QTOF-MS,erythrocyte culture,1
uRBC2_GC-QTOF-MS,erythrocyte culture,1
uRBC3_GC-QTOF-MS,erythrocyte culture,1
uRBC4_GC-QTOF-MS,erythrocyte culture,1
uRBC5_GC-QTOF-MS,erythrocyte culture,1
iS1_GC-QTOF-MS,erythrocyte culture,2
iS2_GC-QTOF-MS,erythrocyte culture,2
iS3_GC-QTOF-MS,erythrocyte culture,2
iS4_GC-QTOF-MS,erythrocyte culture,2
iS5_GC-QTOF-MS,erythrocyte culture,2
uS2_GC-QTOF-MS,erythrocyte culture,3
uS3_GC-QTOF-MS,erythrocyte culture,3
uS4_GC-QTOF-MS,erythrocyte culture,3
uS5_GC-QTOF-MS,erythrocyte culture,3
